Date,Close,DailyReturn,Underlying,Leverage,Source
1999-03-10,100.0,,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-11,101.46920898437497,0.0146920898437497,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-12,94.05360340916887,-0.07308232368646939,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-15,102.15566931342049,0.08614306746977629,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-16,104.75886214231036,0.025482607537943958,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-17,102.48974707009553,-0.02166036386623149,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-18,108.45315363268347,0.05818539642320908,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-19,100.13531483670828,-0.07669522293603936,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-22,96.4692058237301,-0.03661154927166832,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-23,86.28026535804071,-0.1056185793040193,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-24,95.063186206927,0.10179524613698687,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-25,105.48143607144009,0.10959289584335363,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
1999-03-26,102.07886845702863,-0.03225750180445941,QQQ,3.0,基于 QQQ 总收益序列按每日 +3 倍模拟；底层来源：https://totalrealreturns.com/n/QQQ?start=1999-03-10&end=2026-07-24
